#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
PP228892.1           -          upstream_profile     -            1.2e-20   75.0   0.1   2.3e-10   41.4   0.0   4.0   1   1   1   2   2   2   2 MAG: Orivirus A isolate B11_2W2_SA_22, complete genome
KT880667.1           -          upstream_profile     -            1.4e-19   71.4   0.5   1.2e-10   42.4   0.0   3.9   2   1   1   3   3   2   2 Chicken orivirus 2 strain Pf-CHK1/OrV-A2, complete genome
KM203656.1           -          upstream_profile     -            2.8e-18   67.2   0.0   3.5e-11   44.1   0.0   3.1   1   1   1   2   2   2   2 Orivirus A strain chicken/Pf-CHK1/2013/HUN, complete genome
NC_025432.1          -          upstream_profile     -            2.8e-18   67.2   0.0   3.5e-11   44.1   0.0   3.1   1   1   1   2   2   2   2 Chicken orivirus 1 strain chicken/Pf-CHK1/2013/HUN, complete genome
PP827032.1           -          upstream_profile     -            3.5e-18   66.9   0.0   3.5e-18   66.9   0.0   2.7   2   1   0   2   2   1   1 Bar-headed goose megrivirus isolate PICV1, complete genome
KF979334.1           -          upstream_profile     -            1.8e-15   58.1   0.1   5.2e-11   43.5   0.1   3.3   2   1   1   3   3   2   2 Chicken picornavirus 3 isolate 45C, complete genome
NC_024767.1          -          upstream_profile     -            1.8e-15   58.1   0.1   5.2e-11   43.5   0.1   3.3   2   1   1   3   3   2   2 Chicken picornavirus 3 isolate 45C, complete genome
MF405436.1           -          upstream_profile     -            1.7e-14   54.9  23.3     2e-08   35.1   0.0   5.8   2   2   2   4   4   3   2 Megrivirus E1 isolate KGI-Bel-P5/2015, complete genome
NC_039004.1          -          upstream_profile     -            1.7e-14   54.9  23.3     2e-08   35.1   0.0   5.8   2   2   2   4   4   3   2 Penguin megrivirus isolate KGI-Bel-P5/2015, complete genome
KT880669.1           -          upstream_profile     -            1.8e-13   51.6   0.1   3.6e-05   24.5   0.0   3.4   2   1   1   3   3   2   2 Avisivirus Pf-CHK1/AsV, complete genome
NC_028970.1          -          upstream_profile     -            1.8e-13   51.6   0.1   3.6e-05   24.5   0.0   3.4   2   1   1   3   3   2   2 Avisivirus Pf-CHK1/AsV, complete genome
MN453780.1           -          upstream_profile     -            3.3e-13   50.7  25.2   2.1e-08   35.1   0.0   5.3   3   2   2   5   5   2   2 Megrivirus E1 isolate Ornithogenic_soil-NIHSAD-INDIA-2018, complete genome
MN453781.1           -          upstream_profile     -            4.1e-13   50.4  25.3     2e-08   35.1   0.0   5.2   3   2   2   5   5   2   2 Megrivirus E1 isolate Adelie penguin-NIHSAD-INDIA-2018, complete genome
MN453782.1           -          upstream_profile     -            4.2e-13   50.4  25.7     2e-08   35.1   0.0   5.3   3   2   2   5   5   2   2 Megrivirus E1 isolate Weddell seal-NIHSAD-INDIA-2018, complete genome
MG708279.1           -          upstream_profile     -            4.7e-13   50.2   0.1   3.2e-05   24.7   0.0   3.2   2   1   1   3   3   2   2 Avisivirus AVE052/AsV, complete genome
KY488458.1           -          upstream_profile     -            2.1e-09   38.3  11.3   0.00012   22.8   0.0   4.4   3   1   0   4   4   3   2 Megrivirus D1 strain harrier/MR-01/HUN/2014, complete genome
NC_034617.1          -          upstream_profile     -            2.1e-09   38.3  11.3   0.00012   22.8   0.0   4.4   3   1   0   4   4   3   2 Harrier picornavirus 1 strain harrier/MR-01/HUN/2014, complete genome
ON815296.1           -          upstream_profile     -            2.8e-06   28.1   4.5   6.3e-06   27.0   4.5   1.5   1   0   0   1   1   1   1 Temminck's stint calicivirus isolate SIB_91, complete genome
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      A7_analysis/hmmsearch/upstream_profile.hmm
# Target file:     A7_analysis/picornavirales_genbank_refseq.fna
# Option settings: hmmsearch -o A7_analysis/hmmsearch/upstream_profile_hmmsearch.txt -A A7_analysis/hmmsearch/upstream_profile_hmmsearch_hits.afa --tblout A7_analysis/hmmsearch/upstream_profile_hmmsearch_tblout.txt --cpu 4 A7_analysis/hmmsearch/upstream_profile.hmm A7_analysis/picornavirales_genbank_refseq.fna 
# Current dir:     /projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization
# Date:            Mon Jun  8 16:58:02 2026
# [ok]
