#target name         accession query name                                             accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ------------------------------------------------------ --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
FJ445172.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      243      172      -    no    1 0.51   0.0   19.0        17 ?   Human rhinovirus 97 strain ATCC VR-1297, complete genome
KY369883.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      213      140      -    no    1 0.54   0.0   18.6        21 ?   Rhinovirus B97 strain SC1079, complete genome
MN306025.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      109       32      -    no    1 0.54   0.0   18.5        23 ?   Rhinovirus B83 strain SC0340, complete genome
FJ445161.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      251      174      -    no    1 0.54   0.0   18.5        23 ?   Human rhinovirus 83 strain ATCC VR-1193, complete genome
MN306034.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      207      125      -    no    1 0.52   0.0   17.9        34 ?   Rhinovirus B14 strain SC0641, complete genome
NC_023016.1          -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     3069     3146      +    no    1 0.49   0.0   17.9        35 ?   Lamium mild mosaic virus isolate DSMZ PV-0454 segment RNA1, complete sequence
KC595304.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     3069     3146      +    no    1 0.49   0.0   17.9        35 ?   Lamium mild mosaic virus isolate DSMZ PV-0454 segment RNA1, complete sequence
MZ629135.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      207      125      -    no    1 0.51   0.0   17.2        55 ?   Rhinovirus B14 strain RvB14/USA/2021/DG8738, complete genome
PP346853.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8251     8160      -    no    1 0.51   0.0   17.0        61 ?   Goose megrivirus strain MWG01, complete genome
FJ445187.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      238      167      -    no    1 0.51   0.0   16.9        69 ?   Human rhinovirus 35 strain ATCC VR-1145, complete genome
DQ473487.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      238      167      -    no    1 0.51   0.0   16.9        69 ?   Rhinovirus B35, complete genome
