fields,id,source
"{'id': ['RF04326'], 'description': ['Exoribonuclease-resistant RNA (xrRNA) plant-infecting virus (class 3)'], 'rna_type': ['Cis-reg'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['354'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF04326,rfam
"{'id': ['RF03547'], 'description': ['General Flavivirus exoribonuclease-resistant RNA element'], 'rna_type': ['Cis-reg'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['48'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF03547,rfam
"{'id': ['RF03536'], 'description': ['Tick-borne Flavivirus exoribonuclease-resistant RNA element'], 'rna_type': ['Cis-reg'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['18'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF03536,rfam
"{'id': ['RF03541'], 'description': ['Insect-specific Flavivirus exoribonuclease-resistant RNA element'], 'rna_type': ['Cis-reg'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['8'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF03541,rfam
"{'id': ['RF03539'], 'description': ['No-known vector Flavivirus exoribonuclease-resistant RNA element'], 'rna_type': ['Cis-reg'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['3'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF03539,rfam
