jobid	jobname	maxrss	maxvmsize	elapsed	state
5711999_0.batch	batch	6703968K	7863592K	00:15:28	COMPLETED
5711999_0.extern	extern	0	0	00:15:28	COMPLETED
5711999_1.batch	batch	6703176K	7862704K	00:15:26	COMPLETED
5711999_1.extern	extern	0	0	00:15:26	COMPLETED
5711999_2.batch	batch	6701228K	7860812K	00:15:27	COMPLETED
5711999_2.extern	extern	68K	68K	00:15:27	COMPLETED
5711999_3.batch	batch	6698832K	7858360K	00:15:24	COMPLETED
5711999_3.extern	extern	100K	100K	00:15:24	COMPLETED
5711999_4.batch	batch	6699896K	7859480K	00:15:28	COMPLETED
5711999_4.extern	extern	100K	100K	00:15:28	COMPLETED
5711999_5.batch	batch	6701856K	7861500K	00:15:24	COMPLETED
5711999_5.extern	extern	0	0	00:15:25	COMPLETED
5711999_6.batch	batch	6702552K	7862104K	00:15:24	COMPLETED
5711999_6.extern	extern	8K	8K	00:15:24	COMPLETED
5711999_7.batch	batch	6699776K	7859268K	00:15:25	COMPLETED
5711999_7.extern	extern	56K	56K	00:15:25	COMPLETED
5711999_8.batch	batch	6702616K	7862176K	00:15:24	COMPLETED
5711999_8.extern	extern	64K	64K	00:15:24	COMPLETED
5711999_9.batch	batch	6702588K	7862172K	00:15:26	COMPLETED
5711999_9.extern	extern	92K	92K	00:15:26	COMPLETED
