symbol	Ensembl_Gene	Ensembl_nuc	five_utr_written	cds_written	three_utr_written	error
ROR1	ENSG00000185483.14	ENST00000371079.6	True	True	True	
ROR2	ENSG00000169071.17	ENST00000375708.4	True	True	True	
DDR2	ENSG00000162733.21	ENST00000367921.8	True	True	True	
NTS	ENSG00000133636.13	ENST00000256010.7	True	True	True	
NTSR1	ENSG00000101188.6	ENST00000370501.4	True	True	True	
NUCB1	ENSG00000104805.19	ENST00000405315.9	True	True	True	
NUCB2	ENSG00000070081.20	ENST00000529010.6	True	True	True	
NUMA1	ENSG00000137497.21	ENST00000393695.8	True	True	True	
NUP88	ENSG00000108559.15	ENST00000573584.6	True	True	True	
NUP98	ENSG00000110713.20	ENST00000324932.12	True	True	True	
NR4A2	ENSG00000153234.18	ENST00000339562.9	True	True	True	
NVL	ENSG00000143748.20	ENST00000281701.11	True	True	True	
GPR143	ENSG00000101850.15	ENST00000467482.6	True	True	True	
OAS1	ENSG00000089127.16	ENST00000202917.10	True	True	True	
OAS2	ENSG00000111335.15	ENST00000392583.7	True	True	True	
OAS3	ENSG00000111331.16	ENST00000228928.12	True	True	True	
OAT	ENSG00000065154.14	ENST00000368845.6	True	True	True	
TBC1D25	ENSG00000068354.18	ENST00000376771.9	True	True	True	
OCA2	ENSG00000104044.18	ENST00000354638.8	True	True	True	
OCM2	ENSG00000135175.6	ENST00000257627.5	True	True	True	
OCRL	ENSG00000122126.20	ENST00000371113.9	True	True	True	
ODC1	ENSG00000115758.16	ENST00000234111.9	True	True	True	
ODF1	ENSG00000155087.4	ENST00000285402.4	True	True	True	
ODF2	ENSG00000136811.18	ENST00000351030.8	True	True	True	
OMD	ENSG00000127083.10	ENST00000375550.5	True	True	True	
OGDH	ENSG00000105953.18	ENST00000222673.6	True	True	True	
OGG1	ENSG00000114026.23	ENST00000344629.12	True	True	True	
OGN	ENSG00000106809.13	ENST00000375561.10	True	True	True	
OLR1	ENSG00000173391.11	ENST00000309539.8	True	True	True	
OMG	ENSG00000126861.5	ENST00000247271.5	True	True	True	
OMP	ENSG00000254550.1	ENST00000529803.1	False	True	False	
OPA1	ENSG00000198836.13	ENST00000361510.8	True	True	True	
OPCML	ENSG00000183715.16	ENST00000524381.6	True	True	True	
TNFRSF11B	ENSG00000164761.11	ENST00000297350.9	True	True	True	
OPHN1	ENSG00000079482.16	ENST00000355520.6	True	True	True	
OPRD1	ENSG00000116329.13	ENST00000234961.7	True	True	True	
OPRK1	ENSG00000082556.15	ENST00000265572.8	True	True	True	
OPRL1	ENSG00000125510.20	ENST00000336866.7	True	True	True	
OPRM1	ENSG00000112038.18	ENST00000330432.12	True	True	True	
SIX6	ENSG00000184302.7	ENST00000327720.6	True	True	True	
OR1D2	ENSG00000184166.3	ENST00000641833.1	True	True	True	
OR1F1	ENSG00000168124.4	ENST00000304646.3	True	True	True	
OR2C1	ENSG00000168158.4	ENST00000304936.4	True	True	True	
OR3A1	ENSG00000180090.6	ENST00000323404.2	True	True	True	
OR3A2	ENSG00000221882.6	ENST00000573901.3	True	True	True	
ORC1	ENSG00000085840.15	ENST00000371568.8	True	True	True	
ORC2	ENSG00000115942.11	ENST00000234296.7	True	True	True	
ORC4	ENSG00000115947.16	ENST00000392857.10	True	True	True	
ORC5	ENSG00000164815.13	ENST00000297431.9	True	True	True	
SLC67A1	ENSG00000110628.18	ENST00000649076.2	True	True	True	
ORM1	ENSG00000229314.8	ENST00000259396.9	True	True	True	
ORM2	ENSG00000228278.7	ENST00000431067.4	True	True	True	
OSBP	ENSG00000110048.14	ENST00000263847.6	True	True	True	
OSM	ENSG00000099985.5	ENST00000215781.3	True	True	True	
OTC	ENSG00000036473.11	ENST00000039007.5	True	True	True	
CLDN11	ENSG00000013297.14	ENST00000064724.8	True	True	True	
OTX1	ENSG00000115507.12	ENST00000282549.7	True	True	True	
OTX2	ENSG00000165588.21	ENST00000672264.2	True	True	True	
OVGP1	ENSG00000085465.15	ENST00000369732.4	True	True	True	
OVOL1	ENSG00000172818.12	ENST00000335987.8	True	True	True	
OXA1L	ENSG00000155463.16	ENST00000612549.6	True	True	True	
OXCT1	ENSG00000083720.15	ENST00000196371.10	True	True	True	
OXT	ENSG00000101405.4	ENST00000217386.2	True	True	True	
OXTR	ENSG00000180914.12	ENST00000316793.8	True	True	True	
P2RX1	ENSG00000108405.6	ENST00000225538.4	True	True	True	
P2RX3	ENSG00000109991.12	ENST00000263314.3	True	True	True	
P2RX4	ENSG00000135124.18	ENST00000337233.9	True	True	True	
P2RX5	ENSG00000083454.25	ENST00000225328.10	True	True	True	
P2RX7	ENSG00000089041.19	ENST00000328963.10	True	True	True	
P2RY1	ENSG00000169860.7	ENST00000305097.6	True	True	True	
P2RY2	ENSG00000175591.14	ENST00000393597.7	True	True	True	
P2RY4	ENSG00000186912.7	ENST00000374519.4	True	True	True	
P2RY6	ENSG00000171631.18	ENST00000540124.6	True	True	True	
P2RY11	ENSG00000244165.3	ENST00000321826.5	True	True	True	
P4HA1	ENSG00000122884.15	ENST00000394890.7	True	True	True	
P4HB	ENSG00000185624.18	ENST00000331483.9	True	True	True	
PA2G4	ENSG00000170515.16	ENST00000303305.11	True	True	True	
PEBP1	ENSG00000089220.7	ENST00000261313.3	True	True	True	
PABPC3	ENSG00000151846.9	ENST00000281589.5	True	True	True	
FURIN	ENSG00000140564.15	ENST00000268171.8	True	True	True	
PCSK6	ENSG00000140479.19	ENST00000611716.5	True	True	True	
PAEP	ENSG00000122133.19	ENST00000479141.6	True	True	True	
PAFAH1B1	ENSG00000007168.17	ENST00000397195.10	True	True	True	
PAFAH1B2	ENSG00000168092.16	ENST00000527958.6	True	True	True	
PAFAH1B3	ENSG00000079462.10	ENST00000262890.8	True	True	True	
PAFAH2	ENSG00000158006.16	ENST00000374282.8	True	True	True	
PRDX1	ENSG00000117450.17	ENST00000319248.13	True	True	True	
PAH	ENSG00000171759.12	ENST00000553106.6	True	True	True	
SERPINE1	ENSG00000106366.11	ENST00000223095.5	True	True	True	
SERPINB2	ENSG00000197632.11	ENST00000299502.9	True	True	True	
PAK1	ENSG00000149269.12	ENST00000356341.8	True	True	True	
PAK2	ENSG00000180370.12	ENST00000327134.7	True	True	True	
PAK3	ENSG00000077264.19	ENST00000372007.10	True	True	True	
PALM	ENSG00000099864.20	ENST00000338448.10	True	True	True	
PAM	ENSG00000145730.23	ENST00000438793.8	True	True	True	
CNTN3	ENSG00000113805.11	ENST00000263665.7	True	True	True	
REG3A	ENSG00000172016.17	ENST00000305165.3	True	True	True	
PAPPA	ENSG00000182752.11	ENST00000328252.4	True	True	True	
PRKN	ENSG00000185345.26	ENST00000366898.6	True	True	True	
PARN	ENSG00000140694.20	ENST00000437198.7	True	True	True	
PAWR	ENSG00000177425.13	ENST00000328827.9	True	True	True	
PAX1	ENSG00000125813.16	ENST00000613128.5	True	True	True	
PAX2	ENSG00000075891.26	ENST00000355243.8	True	True	True	
PAX3	ENSG00000135903.21	ENST00000392070.7	True	True	True	
PAX4	ENSG00000106331.20	ENST00000639438.3	True	True	True	
PAX5	ENSG00000196092.14	ENST00000358127.9	True	True	True	
PAX6	ENSG00000007372.26	ENST00000640368.2	True	True	True	
PAX7	ENSG00000009709.15	ENST00000420770.7	True	True	True	
PDCL	ENSG00000136940.16	ENST00000259467.9	True	True	True	
PAX9	ENSG00000198807.13	ENST00000361487.7	True	True	True	
PBX1	ENSG00000185630.21	ENST00000420696.7	True	True	True	
PBX2	ENSG00000204304.13	ENST00000375050.6	True	True	True	
PBX3	ENSG00000167081.20	ENST00000373489.10	True	True	True	
PC	ENSG00000173599.17	ENST00000393960.7	True	True	True	
PCBD1	ENSG00000166228.11	ENST00000299299.4	True	True	True	
PCBP1	ENSG00000169564.7	ENST00000303577.7	True	True	True	
PCBP2	ENSG00000197111.18	ENST00000546463.6	True	True	True	
PCCA	ENSG00000175198.19	ENST00000376285.6	True	True	True	
PCCB	ENSG00000114054.16	ENST00000251654.9	True	True	True	
PCDH1	ENSG00000156453.15	ENST00000287008.8	True	True	True	
PCDHGC3	ENSG00000240184.8	ENST00000308177.5	True	True	True	
PCDH7	ENSG00000169851.18	ENST00000695919.1	True	True	True	
PCDH8	ENSG00000136099.13	ENST00000377942.7	True	True	True	
PCDH9	ENSG00000184226.16	ENST00000377865.7	True	True	True	
SERPINA5	ENSG00000188488.16	ENST00000329597.12	True	True	True	
PCK1	ENSG00000124253.13	ENST00000319441.6	True	True	True	
PCK2	ENSG00000100889.14	ENST00000216780.9	True	True	True	
PCM1	ENSG00000078674.22	ENST00000325083.13	True	True	True	
PCMT1	ENSG00000120265.23	ENST00000464889.7	True	True	True	
PCNA	ENSG00000132646.13	ENST00000379143.10	True	True	True	
PCNT	ENSG00000160299.20	ENST00000359568.10	True	True	True	
PCOLCE	ENSG00000106333.15	ENST00000223061.6	True	True	True	
CHMP1A	ENSG00000131165.18	ENST00000397901.8	True	True	True	
PCP4	ENSG00000183036.12	ENST00000328619.10	True	True	True	
PCSK1	ENSG00000175426.13	ENST00000311106.8	True	True	True	
PCSK5	ENSG00000099139.16	ENST00000674117.1	True	True	True	
PCSK2	ENSG00000125851.12	ENST00000262545.7	True	True	True	
CDK16	ENSG00000102225.19	ENST00000357227.9	True	True	True	
CDK17	ENSG00000059758.10	ENST00000261211.8	True	True	True	
CDK18	ENSG00000117266.18	ENST00000429964.7	True	True	True	
PCYT1A	ENSG00000161217.14	ENST00000431016.6	True	True	True	
PDC	ENSG00000116703.14	ENST00000391997.3	True	True	True	
PDCD1	ENSG00000188389.14	ENST00000334409.10	True	True	True	
PDCD2	ENSG00000071994.12	ENST00000541970.6	True	True	True	
PDE1A	ENSG00000115252.21	ENST00000409365.6	True	True	True	
PDE1C	ENSG00000154678.20	ENST00000396191.6	True	True	True	
PDE2A	ENSG00000186642.17	ENST00000334456.10	True	True	True	
PDE3A	ENSG00000172572.9	ENST00000359062.4	True	True	True	
PDE3B	ENSG00000152270.12	ENST00000282096.9	True	True	True	
PDE4A	ENSG00000065989.18	ENST00000380702.7	True	True	True	
PDE4B	ENSG00000184588.19	ENST00000341517.9	True	True	True	
PDE4C	ENSG00000105650.23	ENST00000262805.17	True	True	True	
PDE4D	ENSG00000113448.21	ENST00000340635.11	True	True	True	
PDE6A	ENSG00000132915.14	ENST00000255266.10	True	True	True	
PDE6C	ENSG00000095464.11	ENST00000371447.4	True	True	True	
PDE6D	ENSG00000156973.16	ENST00000287600.9	True	True	True	
PDE6G	ENSG00000185527.13	ENST00000331056.10	True	True	True	
PDE6H	ENSG00000139053.5	ENST00000266395.3	True	True	True	
PDE7A	ENSG00000205268.13	ENST00000401827.8	True	True	True	
PDE8A	ENSG00000073417.17	ENST00000394553.6	True	True	True	
PDE9A	ENSG00000160191.20	ENST00000291539.11	True	True	True	
PDE1B	ENSG00000123360.14	ENST00000243052.8	True	True	True	
PDGFA	ENSG00000197461.15	ENST00000402802.8	True	True	True	
PDGFB	ENSG00000100311.19	ENST00000331163.11	True	True	True	
PDGFRA	ENSG00000134853.14	ENST00000257290.10	True	True	True	
PDGFRL	ENSG00000104213.15	ENST00000251630.11	True	True	True	
PDE6B	ENSG00000133256.14	ENST00000496514.6	True	True	True	
PDGFRB	ENSG00000113721.16	ENST00000261799.9	True	True	True	
PDHA1	ENSG00000131828.16	ENST00000422285.7	True	True	True	
PDHA2	ENSG00000163114.6	ENST00000295266.6	True	True	True	
PDHB	ENSG00000168291.15	ENST00000302746.11	True	True	True	
PDK1	ENSG00000152256.16	ENST00000282077.8	True	True	True	
PDK2	ENSG00000005882.14	ENST00000503176.6	True	True	True	
PDK3	ENSG00000067992.19	ENST00000379162.9	True	True	True	
PDK4	ENSG00000004799.10	ENST00000005178.6	True	True	True	
ENPP1	ENSG00000197594.16	ENST00000647893.1	True	True	True	
ENPP2	ENSG00000136960.15	ENST00000075322.11	True	True	True	
ENPP3	ENSG00000154269.17	ENST00000357639.8	True	True	True	
PDPK1	ENSG00000140992.22	ENST00000342085.9	True	True	True	
SLC26A4	ENSG00000091137.16	ENST00000644269.2	True	True	True	
PDYN	ENSG00000101327.10	ENST00000217305.3	True	True	True	
PDZK1	ENSG00000174827.16	ENST00000417171.6	True	True	True	
PECAM1	ENSG00000261371.8	ENST00000563924.6	True	True	True	
SERPINF1	ENSG00000132386.13	ENST00000254722.9	True	True	True	
PEG3	ENSG00000198300.15	ENST00000326441.15	True	True	True	
PENK	ENSG00000181195.13	ENST00000451791.7	True	True	True	
PEPD	ENSG00000124299.18	ENST00000244137.12	True	True	True	
PER1	ENSG00000179094.19	ENST00000317276.9	True	True	True	
GATB	ENSG00000059691.14	ENST00000263985.11	True	True	True	
PEX1	ENSG00000127980.18	ENST00000248633.9	True	True	True	
PEX6	ENSG00000124587.16	ENST00000304611.13	True	True	True	
PEX7	ENSG00000112357.16	ENST00000318471.5	True	True	True	
PEX10	ENSG00000157911.13	ENST00000447513.7	True	True	True	
PEX12	ENSG00000108733.12	ENST00000225873.9	True	True	True	
PEX13	ENSG00000162928.11	ENST00000295030.6	True	True	True	
PEX14	ENSG00000142655.15	ENST00000356607.9	True	True	True	
PF4	ENSG00000163737.6	ENST00000296029.4	True	True	True	
PF4V1	ENSG00000109272.5	ENST00000226524.4	True	True	True	
PFAS	ENSG00000178921.16	ENST00000314666.11	True	True	True	
CFP	ENSG00000126759.16	ENST00000396992.8	True	True	True	
PFDN1	ENSG00000113068.12	ENST00000261813.9	True	True	True	
PFDN2	ENSG00000143256.7	ENST00000368010.4	True	True	True	
PFDN4	ENSG00000101132.13	ENST00000371419.7	True	True	True	
PFDN5	ENSG00000123349.17	ENST00000334478.9	True	True	True	
ATP8B1	ENSG00000081923.17	ENST00000648908.2	True	True	True	
PFKFB1	ENSG00000158571.13	ENST00000375006.8	True	True	True	
PFKFB2	ENSG00000123836.17	ENST00000367080.8	True	True	True	
PFKFB3	ENSG00000170525.23	ENST00000379775.9	True	True	True	
PFKFB4	ENSG00000114268.14	ENST00000232375.8	True	True	True	
PFKL	ENSG00000141959.19	ENST00000349048.9	True	True	True	
VIT	ENSG00000205221.15	ENST00000379242.8	True	True	True	
PFKM	ENSG00000152556.19	ENST00000359794.11	True	True	True	
PFKP	ENSG00000067057.21	ENST00000381125.9	True	True	True	
PFN1	ENSG00000108518.10	ENST00000225655.6	True	True	True	
PFN2	ENSG00000070087.17	ENST00000239940.12	True	True	True	
CDK14	ENSG00000058091.19	ENST00000380050.8	True	True	True	
PGA5	ENSG00000256713.8	ENST00000312403.10	True	True	True	
PGAM1	ENSG00000171314.11	ENST00000334828.6	True	True	True	
PGAM2	ENSG00000164708.8	ENST00000297283.4	True	True	True	
PGC	ENSG00000096088.18	ENST00000373025.7	True	True	True	
PGD	ENSG00000142657.23	ENST00000270776.13	True	True	True	
PGF	ENSG00000119630.16	ENST00000555567.6	True	True	True	
PGGT1B	ENSG00000164219.11	ENST00000419445.6	True	True	True	
PGK1	ENSG00000102144.17	ENST00000373316.5	True	True	True	
PGK2	ENSG00000170950.7	ENST00000304801.6	True	True	True	
PGM1	ENSG00000079739.19	ENST00000371084.8	True	True	True	
PGM3	ENSG00000013375.19	ENST00000513973.6	True	True	True	
PGM5	ENSG00000154330.15	ENST00000396396.6	True	True	True	
PGR	ENSG00000082175.17	ENST00000325455.10	True	True	True	
ABCB1	ENSG00000085563.17	ENST00000622132.5	True	True	True	
ABCB4	ENSG00000005471.21	ENST00000649586.2	True	True	True	
PHB1	ENSG00000167085.16	ENST00000300408.8	True	True	True	
SLC25A3	ENSG00000075415.17	ENST00000228318.8	True	True	True	
SLC25A3	ENSG00000075415.17	ENST00000552981.6	True	True	True	
PHEX	ENSG00000102174.11	ENST00000379374.5	True	True	True	
PHF1	ENSG00000112511.20	ENST00000374516.8	True	True	True	
PHF2	ENSG00000197724.14	ENST00000359246.9	True	True	True	
PHKA1	ENSG00000067177.17	ENST00000373542.9	True	True	True	
PHKA2	ENSG00000044446.14	ENST00000379942.5	True	True	True	
PHKB	ENSG00000102893.20	ENST00000323584.10	True	True	True	
PHKG1	ENSG00000164776.13	ENST00000297373.7	True	True	True	
PHKG2	ENSG00000156873.18	ENST00000563588.6	True	True	True	
PHYH	ENSG00000107537.16	ENST00000263038.9	True	True	True	
SERPINA1	ENSG00000197249.16	ENST00000393087.9	True	True	True	
PI3	ENSG00000124102.7	ENST00000243924.4	True	True	True	
SERPINA4	ENSG00000100665.14	ENST00000557004.6	True	True	True	
SERPINB5	ENSG00000206075.16	ENST00000382771.9	True	True	True	
SERPINB6	ENSG00000124570.23	ENST00000380539.7	True	True	True	
SERPINE2	ENSG00000135919.16	ENST00000409304.6	True	True	True	
SERPINB8	ENSG00000166401.17	ENST00000397985.7	True	True	True	
SERPINB9	ENSG00000170542.9	ENST00000380698.5	True	True	True	
SERPINB10	ENSG00000242550.7	ENST00000238508.8	True	True	True	
SERPINI1	ENSG00000163536.15	ENST00000446050.7	True	True	True	
SERPINB13	ENSG00000197641.13	ENST00000344731.10	True	True	True	
SERPINI2	ENSG00000114204.17	ENST00000264677.9	True	True	True	
PIGA	ENSG00000165195.17	ENST00000333590.6	True	True	True	
PIGC	ENSG00000135845.12	ENST00000344529.5	True	True	True	
PIGF	ENSG00000151665.15	ENST00000281382.11	True	True	True	
PIGH	ENSG00000100564.11	ENST00000216452.9	True	True	True	
PIGR	ENSG00000162896.8	ENST00000356495.5	True	True	True	
PIK3C2A	ENSG00000011405.16	ENST00000691414.1	True	True	True	
PIK3C2B	ENSG00000133056.16	ENST00000684373.1	True	True	True	
PIK3C2G	ENSG00000139144.13	ENST00000538779.6	True	True	True	
PIK3C3	ENSG00000078142.16	ENST00000262039.9	True	True	True	
PIK3CA	ENSG00000121879.8	ENST00000263967.4	True	True	True	
PIK3CB	ENSG00000051382.12	ENST00000674063.1	True	True	True	
PIM1	ENSG00000137193.16	ENST00000373509.6	True	True	True	
PIK3CD	ENSG00000171608.20	ENST00000377346.9	True	True	True	
PIK3CG	ENSG00000105851.12	ENST00000496166.6	True	True	True	
PIK3R1	ENSG00000145675.18	ENST00000521381.6	True	True	True	
PIK3R2	ENSG00000105647.22	ENST00000222254.13	True	True	True	
PI4KA	ENSG00000241973.13	ENST00000255882.11	True	True	True	
PI4KB	ENSG00000143393.19	ENST00000368873.6	True	True	True	
PIN1	ENSG00000127445.16	ENST00000247970.9	True	True	True	
PIN4	ENSG00000102309.17	ENST00000373669.8	True	True	True	
PIP	ENSG00000159763.5	ENST00000291009.4	True	True	True	
PIP4K2A	ENSG00000150867.16	ENST00000376573.9	True	True	True	
PITPNA	ENSG00000174238.17	ENST00000313486.12	True	True	True	
PITX1	ENSG00000069011.17	ENST00000265340.12	True	True	True	
PITX2	ENSG00000164093.19	ENST00000644743.1	True	True	True	
PITX3	ENSG00000107859.12	ENST00000370002.8	True	True	True	
PKD1	ENSG00000008710.20	ENST00000262304.9	True	True	True	
PKD2	ENSG00000118762.10	ENST00000237596.7	True	True	True	
PKLR	ENSG00000143627.20	ENST00000342741.6	True	True	True	
PKHD1	ENSG00000170927.16	ENST00000371117.8	True	True	True	
PKM	ENSG00000067225.23	ENST00000335181.10	True	True	True	
PKNOX1	ENSG00000160199.17	ENST00000291547.10	True	True	True	
PKP1	ENSG00000081277.14	ENST00000367324.8	True	True	True	
PKP2	ENSG00000057294.20	ENST00000340811.9	True	True	True	
PLA2G1B	ENSG00000170890.15	ENST00000308366.9	True	True	True	
PLA2G2A	ENSG00000188257.14	ENST00000482011.3	True	True	True	
PLA2G4A	ENSG00000116711.12	ENST00000367466.4	True	True	True	
PLA2G5	ENSG00000127472.13	ENST00000375108.4	True	True	True	
PLAG1	ENSG00000181690.10	ENST00000316981.8	True	True	True	
PLAGL1	ENSG00000118495.23	ENST00000674357.1	True	True	True	
PLAGL2	ENSG00000126003.8	ENST00000246229.5	True	True	True	
PLAT	ENSG00000104368.21	ENST00000220809.9	True	True	True	
PLAU	ENSG00000122861.18	ENST00000372764.4	True	True	True	
PLAUR	ENSG00000011422.14	ENST00000340093.8	True	True	True	
PLCB2	ENSG00000137841.14	ENST00000260402.8	True	True	True	
PLCB3	ENSG00000149782.15	ENST00000279230.12	True	True	True	
PLCB4	ENSG00000101333.21	ENST00000378473.9	True	True	True	
PLCD1	ENSG00000187091.16	ENST00000334661.5	True	True	True	
PLCL1	ENSG00000115896.18	ENST00000428675.6	True	True	True	
PLCG1	ENSG00000124181.17	ENST00000685551.1	True	True	True	
PLCG2	ENSG00000197943.15	ENST00000564138.6	True	True	True	
PLD1	ENSG00000075651.19	ENST00000351298.9	True	True	True	
PLD2	ENSG00000129219.16	ENST00000263088.11	True	True	True	
PLEC	ENSG00000178209.19	ENST00000345136.8	True	True	True	
PLEC	ENSG00000178209.19	ENST00000356346.7	True	True	True	
PLG	ENSG00000122194.22	ENST00000308192.14	True	True	True	
PLEK	ENSG00000115956.11	ENST00000234313.8	True	True	True	
PLGLB2	ENSG00000125551.21	ENST00000359481.9	True	True	True	
PLGLB1	ENSG00000183281.17	ENST00000355705.4	True	True	True	
SERPINF2	ENSG00000167711.16	ENST00000453066.6	True	True	True	
PLIN1	ENSG00000166819.14	ENST00000300055.10	True	True	True	
PLK1	ENSG00000166851.17	ENST00000300093.9	True	True	True	
FXYD1	ENSG00000266964.8	ENST00000351325.9	True	True	True	
FXYD3	ENSG00000089356.21	ENST00000604404.6	True	True	True	
PLN	ENSG00000198523.8	ENST00000357525.6	True	True	True	
PLOD1	ENSG00000083444.19	ENST00000196061.5	True	True	True	
PLOD2	ENSG00000152952.16	ENST00000282903.10	True	True	True	
PLP1	ENSG00000123560.16	ENST00000621218.5	True	True	True	
PLP2	ENSG00000102007.13	ENST00000376327.6	True	True	True	
PLRG1	ENSG00000171566.14	ENST00000499023.7	True	True	True	
PLS1	ENSG00000120756.15	ENST00000457734.7	True	True	True	
PLS3	ENSG00000102024.21	ENST00000355899.8	True	True	True	
PLSCR1	ENSG00000188313.15	ENST00000342435.9	True	True	True	
PLTP	ENSG00000100979.17	ENST00000372431.8	True	True	True	
PLXNA1	ENSG00000114554.13	ENST00000393409.3	True	True	True	
PLXNA2	ENSG00000076356.9	ENST00000367033.4	True	True	True	
PLXNB1	ENSG00000164050.15	ENST00000296440.11	True	True	True	
PLXNB3	ENSG00000198753.14	ENST00000361971.10	True	True	True	
PMAIP1	ENSG00000141682.14	ENST00000316660.7	True	True	True	
PMCH	ENSG00000183395.5	ENST00000329406.5	True	True	True	
PNOC	ENSG00000168081.11	ENST00000301908.8	True	True	True	
PML	ENSG00000140464.22	ENST00000268058.8	True	True	True	
PMM1	ENSG00000100417.14	ENST00000216259.8	True	True	True	
PMM2	ENSG00000140650.15	ENST00000268261.9	True	True	True	
PMP2	ENSG00000147588.9	ENST00000256103.3	True	True	True	
PMP22	ENSG00000109099.18	ENST00000312280.9	True	True	True	
PMS1	ENSG00000064933.21	ENST00000441310.7	True	True	True	
EXOSC9	ENSG00000123737.15	ENST00000243498.10	True	True	True	
EXOSC10	ENSG00000171824.16	ENST00000376936.9	True	True	True	
PMS2	ENSG00000122512.19	ENST00000265849.12	True	True	True	
PRRX1	ENSG00000116132.13	ENST00000239461.11	True	True	True	
PNLIP	ENSG00000175535.6	ENST00000369221.2	True	True	True	
PNLIPRP1	ENSG00000187021.15	ENST00000358834.9	True	True	True	
PNLIPRP2	ENSG00000291895.1	ENST00000709157.1	True	True	True	
PNMT	ENSG00000141744.5	ENST00000269582.3	True	True	True	
PNN	ENSG00000100941.11	ENST00000216832.9	True	True	True	
UBL3	ENSG00000122042.11	ENST00000380680.5	True	True	True	
SEPTIN5	ENSG00000184702.22	ENST00000455784.7	True	True	True	
SEPTIN4	ENSG00000108387.17	ENST00000672673.2	True	True	True	
PODXL	ENSG00000128567.19	ENST00000378555.8	True	True	True	
POLA1	ENSG00000101868.15	ENST00000379068.8	True	True	True	
POLB	ENSG00000070501.14	ENST00000265421.9	True	True	True	
POLD1	ENSG00000062822.18	ENST00000440232.7	True	True	True	
POLD2	ENSG00000106628.15	ENST00000610533.6	True	True	True	
POLE	ENSG00000177084.21	ENST00000320574.10	True	True	True	
POLE2	ENSG00000100479.16	ENST00000216367.10	True	True	True	
POLG	ENSG00000140521.19	ENST00000268124.11	True	True	True	
POLH	ENSG00000170734.14	ENST00000372236.9	True	True	True	
POLR2A	ENSG00000284832.2	ENST00000643490.2	True	True	True	
POLR2B	ENSG00000047315.18	ENST00000314595.6	True	True	True	
POLR2C	ENSG00000102978.15	ENST00000219252.10	True	True	True	
POLR2D	ENSG00000144231.13	ENST00000272645.9	True	True	True	
POLR2E	ENSG00000099817.14	ENST00000615234.5	True	True	True	
POLR2F	ENSG00000100142.18	ENST00000442738.7	True	True	True	
POLR2G	ENSG00000168002.14	ENST00000301788.12	True	True	True	
POLR2H	ENSG00000163882.12	ENST00000456318.6	True	True	True	
POLR2I	ENSG00000105258.10	ENST00000221859.9	True	True	True	
POLR2J	ENSG00000005075.18	ENST00000292614.10	True	True	True	
POLR2K	ENSG00000147669.13	ENST00000353107.8	True	True	True	
POLR2L	ENSG00000177700.8	ENST00000322028.5	True	True	True	
POLRMT	ENSG00000099821.16	ENST00000588649.7	True	True	True	
POMC	ENSG00000115138.13	ENST00000395826.7	True	True	True	
PON1	ENSG00000005421.11	ENST00000222381.8	True	True	True	
PON2	ENSG00000105854.15	ENST00000222572.8	True	True	True	
PON3	ENSG00000105852.13	ENST00000265627.10	True	True	True	
POR	ENSG00000127948.19	ENST00000461988.6	False	True	False	
POU1F1	ENSG00000064835.12	ENST00000350375.7	True	True	True	
POU2AF1	ENSG00000110777.12	ENST00000393067.8	True	True	True	
POU2F1	ENSG00000143190.25	ENST00000367866.7	True	True	True	
POU2F2	ENSG00000028277.24	ENST00000692977.1	True	True	True	
POU3F1	ENSG00000185668.8	ENST00000373012.5	True	True	True	
POU3F2	ENSG00000184486.10	ENST00000328345.8	True	True	True	
POU3F3	ENSG00000198914.5	ENST00000361360.4	True	True	True	
POU3F4	ENSG00000196767.9	ENST00000644024.2	True	True	True	
POU4F1	ENSG00000152192.8	ENST00000377208.7	True	True	True	
POU4F2	ENSG00000151615.3	ENST00000281321.3	True	True	True	
POU4F3	ENSG00000091010.7	ENST00000646991.2	True	True	True	
POU5F1	ENSG00000204531.22	ENST00000259915.13	True	True	True	
POU5F1B	ENSG00000212993.6	ENST00000696633.1	False	True	False	
POU6F1	ENSG00000184271.19	ENST00000333640.12	True	True	True	
PPA1	ENSG00000180817.14	ENST00000373232.8	True	True	True	
PPARA	ENSG00000186951.19	ENST00000407236.6	True	True	True	
PPARD	ENSG00000112033.16	ENST00000360694.8	True	True	True	
PPARG	ENSG00000132170.26	ENST00000651735.1	True	True	True	
MED1	ENSG00000125686.14	ENST00000300651.11	True	True	True	
PPEF2	ENSG00000156194.19	ENST00000286719.12	True	True	True	
PPAT	ENSG00000128059.10	ENST00000264220.6	True	True	True	
PPBP	ENSG00000163736.6	ENST00000296028.4	True	True	True	
PPEF1	ENSG00000086717.21	ENST00000470157.2	True	True	True	
CTSA	ENSG00000064601.23	ENST00000646241.3	True	True	True	
PPIA	ENSG00000196262.17	ENST00000468812.6	True	True	True	
PPIB	ENSG00000166794.9	ENST00000300026.4	True	True	True	
PPIC	ENSG00000168938.8	ENST00000306442.5	True	True	True	
PPID	ENSG00000171497.7	ENST00000307720.4	True	True	True	
PPL	ENSG00000118898.18	ENST00000345988.7	True	True	True	
PPM1A	ENSG00000100614.20	ENST00000395076.9	True	True	True	
PPM1B	ENSG00000138032.23	ENST00000282412.9	True	True	True	
PPM1G	ENSG00000115241.13	ENST00000344034.5	True	True	True	
PPOX	ENSG00000143224.20	ENST00000367999.9	True	True	True	
