symbol	Ensembl_Gene	Ensembl_nuc	five_utr_written	cds_written	three_utr_written	error
ACO1	ENSG00000122729.21	ENST00000309951.8	True	True	True	
ACR	ENSG00000100312.12	ENST00000216139.10	True	True	True	
ACO2	ENSG00000100412.19	ENST00000216254.9	True	True	True	
ACOX1	ENSG00000161533.14	ENST00000293217.10	True	True	True	
ACP1	ENSG00000143727.18	ENST00000272065.10	True	True	True	
ACP2	ENSG00000134575.15	ENST00000672073.1	True	True	True	
ACP5	ENSG00000102575.16	ENST00000648477.1	True	True	True	
ACP3	ENSG00000014257.18	ENST00000336375.10	True	True	True	
ACRV1	ENSG00000134940.15	ENST00000533904.6	True	True	True	
ACTA1	ENSG00000143632.17	ENST00000366684.7	True	True	True	
ACTA2	ENSG00000107796.16	ENST00000224784.10	True	True	True	
ACTB	ENSG00000075624.19	ENST00000646664.1	True	True	True	
ACTC1	ENSG00000159251.12	ENST00000290378.6	True	True	True	
ACTG1	ENSG00000184009.15	ENST00000573283.7	True	True	True	
ACTG2	ENSG00000163017.16	ENST00000345517.8	True	True	True	
ACTN4	ENSG00000130402.16	ENST00000252699.7	True	True	True	
ACTL6A	ENSG00000136518.19	ENST00000429709.7	True	True	True	
ACTN1	ENSG00000072110.19	ENST00000394419.9	True	True	True	
ACTN2	ENSG00000077522.17	ENST00000366578.6	True	True	True	
ACTN3	ENSG00000248746.8	ENST00000513398.2	True	True	True	
ACVR1	ENSG00000115170.18	ENST00000434821.7	True	True	True	
ACVR1B	ENSG00000135503.15	ENST00000257963.9	True	True	True	
ACVR2A	ENSG00000121989.17	ENST00000241416.12	True	True	True	
ACVR2B	ENSG00000114739.16	ENST00000352511.5	True	True	True	
ACVRL1	ENSG00000139567.16	ENST00000388922.9	True	True	True	
ACY1	ENSG00000243989.11	ENST00000636358.2	True	True	True	
ACYP1	ENSG00000119640.11	ENST00000238618.8	True	True	True	
ACYP2	ENSG00000170634.14	ENST00000394666.9	True	True	True	
ADA	ENSG00000196839.16	ENST00000372874.9	True	True	True	
ADAM8	ENSG00000151651.18	ENST00000445355.8	True	True	True	
ADAM10	ENSG00000137845.17	ENST00000260408.8	True	True	True	
ADAR	ENSG00000160710.21	ENST00000368474.9	True	True	True	
ADARB1	ENSG00000197381.20	ENST00000348831.9	True	True	True	
ADARB2	ENSG00000185736.17	ENST00000381312.6	True	True	True	
ADCY1	ENSG00000164742.18	ENST00000297323.12	True	True	True	
ADCY2	ENSG00000078295.19	ENST00000338316.9	True	True	True	
ADCY3	ENSG00000138031.17	ENST00000679454.1	True	True	True	
ADCY5	ENSG00000173175.18	ENST00000462833.6	True	True	True	
ADCY6	ENSG00000174233.14	ENST00000357869.8	True	True	True	
ADCY7	ENSG00000121281.14	ENST00000673801.1	True	True	True	
ADCY8	ENSG00000155897.12	ENST00000286355.10	True	True	True	
ADCY9	ENSG00000162104.12	ENST00000294016.8	True	True	True	
ADCYAP1	ENSG00000141433.15	ENST00000450565.8	True	True	True	
ADCYAP1R1	ENSG00000078549.18	ENST00000304166.9	True	True	True	
ADD1	ENSG00000087274.21	ENST00000683351.1	True	True	True	
ADD2	ENSG00000075340.25	ENST00000264436.9	True	True	True	
ADD3	ENSG00000148700.17	ENST00000356080.9	True	True	True	
PLIN2	ENSG00000147872.12	ENST00000276914.7	True	True	True	
ADH1A	ENSG00000187758.10	ENST00000209668.3	True	True	True	
ADH1B	ENSG00000196616.17	ENST00000305046.13	True	True	True	
ADH1C	ENSG00000248144.8	ENST00000515683.6	True	True	True	
ADH4	ENSG00000198099.11	ENST00000265512.12	True	True	True	
ADH5	ENSG00000197894.14	ENST00000296412.14	True	True	True	
ADH6	ENSG00000172955.19	ENST00000394899.6	True	True	True	
ADH7	ENSG00000196344.13	ENST00000437033.7	True	True	True	
ADK	ENSG00000156110.17	ENST00000539909.6	True	True	True	
ADM	ENSG00000148926.12	ENST00000278175.10	True	True	True	
ADORA1	ENSG00000163485.20	ENST00000337894.9	True	True	True	
ADORA2A	ENSG00000128271.24	ENST00000337539.12	True	True	True	
ADORA2B	ENSG00000170425.5	ENST00000304222.3	True	True	True	
ADORA3	ENSG00000282608.3	ENST00000241356.5	True	True	True	
ADPRH	ENSG00000144843.14	ENST00000357003.8	True	True	True	
PARP1	ENSG00000143799.16	ENST00000366794.10	True	True	True	
PARP4	ENSG00000102699.8	ENST00000381989.4	True	True	True	
ADRA1D	ENSG00000171873.9	ENST00000379453.6	True	True	True	
ADRA1B	ENSG00000170214.6	ENST00000306675.5	True	True	True	
ADRA1A	ENSG00000120907.19	ENST00000380573.4	True	True	True	
ADRA2A	ENSG00000150594.7	ENST00000280155.4	True	True	True	
ADRA2B	ENSG00000274286.2	ENST00000620793.2	True	True	True	
ADRA2C	ENSG00000184160.8	ENST00000330055.7	True	True	True	
ADRB1	ENSG00000043591.6	ENST00000369295.4	True	True	True	
ADRB2	ENSG00000169252.6	ENST00000305988.6	True	True	True	
ADRB3	ENSG00000188778.7	ENST00000345060.5	True	True	True	
GRK2	ENSG00000173020.13	ENST00000308595.10	True	True	True	
GRK3	ENSG00000100077.18	ENST00000324198.11	True	True	True	
ADSL	ENSG00000239900.16	ENST00000623063.3	True	True	True	
ADSS2	ENSG00000035687.11	ENST00000366535.4	True	True	True	
AP2A1	ENSG00000196961.15	ENST00000354293.10	True	True	True	
AP2A2	ENSG00000183020.17	ENST00000448903.7	True	True	True	
AP1B1	ENSG00000100280.19	ENST00000357586.7	True	True	True	
AP2B1	ENSG00000006125.20	ENST00000610402.5	True	True	True	
AP1G1	ENSG00000166747.15	ENST00000299980.9	True	True	True	
AEBP1	ENSG00000106624.13	ENST00000223357.8	True	True	True	
TLE5	ENSG00000104964.17	ENST00000327141.9	True	True	True	
CRISP1	ENSG00000124812.15	ENST00000335847.9	True	True	True	
AFM	ENSG00000079557.7	ENST00000226355.5	True	True	True	
AFP	ENSG00000081051.9	ENST00000395792.7	True	True	True	
AGA	ENSG00000038002.11	ENST00000264595.7	True	True	True	
ACAN	ENSG00000157766.20	ENST00000560601.4	True	True	True	
AGER	ENSG00000204305.18	ENST00000375076.9	True	True	True	
AGL	ENSG00000162688.19	ENST00000361915.8	True	True	True	
AGRP	ENSG00000159723.7	ENST00000290953.3	True	True	True	
JAG1	ENSG00000101384.14	ENST00000254958.10	True	True	True	
AGT	ENSG00000135744.10	ENST00000366667.6	True	True	True	
AGTR1	ENSG00000144891.21	ENST00000349243.8	True	True	True	
AGTR2	ENSG00000180772.10	ENST00000371906.5	True	True	True	
APLNR	ENSG00000134817.12	ENST00000606794.2	True	True	True	
AGXT	ENSG00000172482.7	ENST00000307503.4	True	True	True	
NR0B1	ENSG00000169297.9	ENST00000378970.5	True	True	True	
AHCY	ENSG00000101444.14	ENST00000217426.7	True	True	True	
AHR	ENSG00000106546.16	ENST00000242057.9	True	True	True	
AHSG	ENSG00000145192.15	ENST00000411641.7	True	True	True	
AIF1	ENSG00000204472.15	ENST00000376059.8	True	True	True	
CRYBG1	ENSG00000112297.19	ENST00000633556.3	True	True	True	
AK1	ENSG00000106992.21	ENST00000644144.2	True	True	True	
AK2	ENSG00000004455.20	ENST00000672715.1	True	True	True	
AK4	ENSG00000162433.17	ENST00000327299.8	True	True	True	
AKT1	ENSG00000142208.21	ENST00000649815.2	True	True	True	
AKT2	ENSG00000105221.20	ENST00000392038.7	True	True	True	
ALAD	ENSG00000148218.18	ENST00000409155.8	True	True	True	
ALAS1	ENSG00000023330.17	ENST00000484952.6	True	True	True	
ALAS2	ENSG00000158578.23	ENST00000650242.1	True	True	True	
ALB	ENSG00000163631.21	ENST00000295897.9	True	True	True	
ALCAM	ENSG00000170017.14	ENST00000306107.9	True	True	True	
ABCD1	ENSG00000101986.14	ENST00000218104.6	True	True	True	
ALDH1A1	ENSG00000165092.15	ENST00000297785.8	True	True	True	
ALDH2	ENSG00000111275.15	ENST00000261733.7	True	True	True	
ALDH3A1	ENSG00000108602.20	ENST00000225740.11	True	True	True	
ALDH1B1	ENSG00000137124.10	ENST00000377698.4	True	True	True	
ALDH1A3	ENSG00000184254.20	ENST00000329841.10	True	True	True	
ALDH3B1	ENSG00000006534.19	ENST00000342456.11	True	True	True	
ALDH3B2	ENSG00000132746.16	ENST00000673966.2	True	True	True	
ALDH9A1	ENSG00000143149.15	ENST00000354775.5	True	True	True	
ALDH3A2	ENSG00000072210.21	ENST00000176643.11	True	True	True	
ABCD2	ENSG00000173208.6	ENST00000308666.4	True	True	True	
ALDOA	ENSG00000149925.23	ENST00000642816.3	True	True	True	
ALDOB	ENSG00000136872.23	ENST00000647789.2	True	True	True	
ALDOC	ENSG00000109107.16	ENST00000226253.9	True	True	True	
AKR1B1	ENSG00000085662.16	ENST00000285930.9	True	True	True	
ALK	ENSG00000171094.19	ENST00000389048.8	True	True	True	
ALOX12	ENSG00000108839.14	ENST00000251535.11	True	True	True	
ALOX5	ENSG00000012779.14	ENST00000374391.7	True	True	True	
ALOX5AP	ENSG00000132965.12	ENST00000380490.5	True	True	True	
ALOX12B	ENSG00000179477.12	ENST00000647874.1	True	True	True	
ALOX15	ENSG00000161905.14	ENST00000293761.8	True	True	True	
ALOX15B	ENSG00000179593.18	ENST00000380183.9	True	True	True	
ALPI	ENSG00000163295.5	ENST00000295463.4	True	True	True	
ALPL	ENSG00000162551.16	ENST00000374840.8	True	True	True	
ALPP	ENSG00000163283.7	ENST00000392027.3	True	True	True	
ALPG	ENSG00000163286.10	ENST00000295453.8	True	True	True	
ALX3	ENSG00000156150.10	ENST00000647563.2	True	True	True	
AMBN	ENSG00000178522.15	ENST00000322937.10	True	True	True	
AMBP	ENSG00000106927.14	ENST00000265132.8	True	True	True	
AMD1	ENSG00000123505.22	ENST00000368885.8	True	True	True	
AMELX	ENSG00000125363.14	ENST00000380714.7	True	True	True	
AMELY	ENSG00000099721.16	ENST00000651267.2	True	True	True	
AMFR	ENSG00000159461.17	ENST00000290649.10	True	True	True	
AMH	ENSG00000104899.8	ENST00000221496.5	True	True	True	
AMHR2	ENSG00000135409.13	ENST00000257863.9	True	True	True	
AMPD1	ENSG00000116748.23	ENST00000520113.7	True	True	True	
AMPD2	ENSG00000116337.22	ENST00000528667.7	True	True	True	
AMPD3	ENSG00000133805.18	ENST00000396553.7	True	True	True	
AMPH	ENSG00000078053.19	ENST00000356264.7	True	True	True	
BIN1	ENSG00000136717.17	ENST00000316724.10	True	True	True	
AMT	ENSG00000145020.17	ENST00000273588.9	True	True	True	
AMY1A	ENSG00000237763.12	ENST00000370083.9	True	True	True	
AMY1B	ENSG00000174876.19	ENST00000330330.10	True	True	True	
AMY1C	ENSG00000187733.9	ENST00000622339.5	True	True	True	
AMY2A	ENSG00000243480.8	ENST00000414303.7	True	True	True	
AMY2B	ENSG00000240038.8	ENST00000684275.1	True	True	True	
ANG	ENSG00000214274.12	ENST00000397990.5	True	True	True	
ANGPT1	ENSG00000154188.12	ENST00000517746.6	True	True	True	
ANGPT2	ENSG00000091879.16	ENST00000629816.3	True	True	True	
ANK1	ENSG00000029534.23	ENST00000289734.13	True	True	True	
ANK2	ENSG00000145362.23	ENST00000357077.9	True	True	True	
ANK3	ENSG00000151150.24	ENST00000280772.7	True	True	True	
ANPEP	ENSG00000166825.17	ENST00000300060.7	True	True	True	
SLC25A4	ENSG00000151729.13	ENST00000281456.11	True	True	True	
SLC25A5	ENSG00000005022.8	ENST00000317881.9	True	True	True	
SLC25A6	ENSG00000169100.16	ENST00000381401.11	True	True	True	
ANXA1	ENSG00000135046.17	ENST00000257497.11	True	True	True	
ANXA2	ENSG00000182718.20	ENST00000451270.7	True	True	True	
ANXA3	ENSG00000138772.15	ENST00000264908.11	True	True	True	
ANXA4	ENSG00000196975.18	ENST00000394295.6	True	True	True	
ANXA5	ENSG00000164111.17	ENST00000296511.10	True	True	True	
ANXA6	ENSG00000197043.17	ENST00000354546.10	True	True	True	
ANXA7	ENSG00000138279.18	ENST00000372921.10	True	True	True	
ANXA11	ENSG00000122359.20	ENST00000422982.8	True	True	True	
ANXA13	ENSG00000104537.19	ENST00000419625.6	True	True	True	
AOAH	ENSG00000136250.15	ENST00000617537.5	True	True	True	
AOC2	ENSG00000131480.10	ENST00000253799.8	True	True	True	
AOX1	ENSG00000138356.16	ENST00000374700.7	True	True	True	
APAF1	ENSG00000120868.17	ENST00000551964.6	True	True	True	
NUDT2	ENSG00000164978.21	ENST00000379158.7	True	True	True	
APOF	ENSG00000175336.12	ENST00000398189.4	True	True	True	
APBA1	ENSG00000107282.10	ENST00000265381.7	True	True	True	
APBA2	ENSG00000034053.17	ENST00000683413.1	True	True	True	
APBB1	ENSG00000166313.22	ENST00000609360.6	True	True	True	
APBB2	ENSG00000163697.20	ENST00000508593.6	True	True	True	
APC	ENSG00000134982.21	ENST00000257430.9	True	True	True	
APCS	ENSG00000132703.5	ENST00000255040.3	True	True	True	
AIRE	ENSG00000160224.18	ENST00000291582.6	True	True	True	
APEH	ENSG00000164062.15	ENST00000296456.10	True	True	True	
APEX1	ENSG00000100823.14	ENST00000216714.8	True	True	True	
BIRC2	ENSG00000110330.12	ENST00000227758.7	True	True	True	
BIRC3	ENSG00000023445.19	ENST00000263464.9	True	True	True	
XIAP	ENSG00000101966.16	ENST00000371199.8	True	True	True	
BIRC5	ENSG00000089685.17	ENST00000350051.8	True	True	True	
APLP1	ENSG00000105290.16	ENST00000221891.9	True	True	True	
APLP2	ENSG00000084234.20	ENST00000338167.10	True	True	True	
APOA1	ENSG00000118137.12	ENST00000236850.5	True	True	True	
APOA2	ENSG00000158874.14	ENST00000367990.7	True	True	True	
APOA4	ENSG00000110244.8	ENST00000357780.5	True	True	True	
APOB	ENSG00000084674.16	ENST00000233242.5	True	True	True	
APOBEC1	ENSG00000111701.7	ENST00000229304.5	True	True	True	
APOC1	ENSG00000130208.12	ENST00000592535.6	True	True	True	
AQP8	ENSG00000103375.13	ENST00000219660.6	True	True	True	
APOC2	ENSG00000234906.13	ENST00000252490.7	True	True	True	
APOC3	ENSG00000110245.14	ENST00000227667.8	True	True	True	
APOC4	ENSG00000267467.6	ENST00000592954.2	True	True	True	
APOD	ENSG00000189058.11	ENST00000343267.8	True	True	True	
APOE	ENSG00000130203.12	ENST00000252486.9	True	True	True	
APOH	ENSG00000091583.13	ENST00000205948.11	True	True	True	
APP	ENSG00000142192.24	ENST00000346798.8	True	True	True	
APRT	ENSG00000198931.13	ENST00000378364.8	True	True	True	
KLK3	ENSG00000142515.17	ENST00000326003.7	True	True	True	
FAS	ENSG00000026103.26	ENST00000652046.1	True	True	True	
FASLG	ENSG00000117560.10	ENST00000367721.3	True	True	True	
SHROOM2	ENSG00000146950.14	ENST00000380913.8	True	True	True	
AQP1	ENSG00000240583.16	ENST00000311813.11	True	True	True	
AQP2	ENSG00000167580.9	ENST00000199280.4	True	True	True	
AQP3	ENSG00000165272.18	ENST00000297991.6	True	True	True	
AQP4	ENSG00000171885.20	ENST00000383168.9	True	True	True	
AQP5	ENSG00000161798.9	ENST00000293599.7	True	True	True	
AQP6	ENSG00000086159.16	ENST00000315520.10	True	True	True	
AQP7	ENSG00000165269.15	ENST00000297988.6	True	True	True	
AQP9	ENSG00000103569.13	ENST00000219919.9	True	True	True	
AR	ENSG00000169083.19	ENST00000374690.9	True	True	True	
ABCC6	ENSG00000091262.19	ENST00000205557.12	True	True	True	
ARAF	ENSG00000078061.16	ENST00000377045.9	True	True	True	
ARCN1	ENSG00000095139.17	ENST00000264028.5	True	True	True	
TRIM23	ENSG00000113595.16	ENST00000231524.14	True	True	True	
AREG	ENSG00000109321.13	ENST00000395748.8	True	True	True	
ARF1	ENSG00000143761.19	ENST00000272102.10	True	True	True	
ARF3	ENSG00000134287.12	ENST00000256682.9	True	True	True	
ARF4	ENSG00000168374.13	ENST00000303436.11	True	True	True	
ARL4D	ENSG00000175906.7	ENST00000320033.5	True	True	True	
ARF5	ENSG00000004059.13	ENST00000000233.10	True	True	True	
ARF6	ENSG00000165527.10	ENST00000298316.7	True	True	True	
ARG1	ENSG00000118520.18	ENST00000368087.8	True	True	True	
ARG2	ENSG00000081181.10	ENST00000261783.4	True	True	True	
RHOA	ENSG00000067560.16	ENST00000418115.6	True	True	True	
RHOB	ENSG00000143878.10	ENST00000272233.6	True	True	True	
RHOC	ENSG00000155366.19	ENST00000339083.12	True	True	True	
RND3	ENSG00000115963.16	ENST00000263895.9	True	True	True	
RHOG	ENSG00000177105.12	ENST00000351018.5	True	True	True	
ARHGAP1	ENSG00000175220.14	ENST00000311956.9	True	True	True	
ARHGAP4	ENSG00000089820.19	ENST00000350060.10	True	True	True	
ARHGAP5	ENSG00000100852.15	ENST00000345122.8	True	True	True	
ARHGAP6	ENSG00000047648.24	ENST00000337414.9	True	True	True	
ARHGDIA	ENSG00000141522.15	ENST00000269321.12	True	True	True	
ARHGDIB	ENSG00000111348.11	ENST00000228945.9	True	True	True	
ARHGDIG	ENSG00000242173.12	ENST00000219409.8	True	True	True	
RHOH	ENSG00000168421.15	ENST00000381799.10	True	True	True	
ARL1	ENSG00000120805.16	ENST00000261636.13	True	True	True	
PHOX2A	ENSG00000165462.6	ENST00000298231.5	True	True	True	
ARL2	ENSG00000213465.10	ENST00000246747.9	True	True	True	
ARL3	ENSG00000138175.11	ENST00000260746.6	True	True	True	
ARNT	ENSG00000143437.23	ENST00000358595.10	True	True	True	
BMAL1	ENSG00000133794.22	ENST00000403290.6	True	True	True	
ARR3	ENSG00000120500.20	ENST00000307959.9	True	True	True	
ARRB1	ENSG00000137486.19	ENST00000420843.7	True	True	True	
ARRB2	ENSG00000141480.20	ENST00000269260.7	True	True	True	
ARSA	ENSG00000100299.20	ENST00000216124.10	True	True	True	
ARSB	ENSG00000113273.19	ENST00000264914.10	True	True	True	
STS	ENSG00000101846.11	ENST00000674429.1	True	True	True	
ARSD	ENSG00000006756.18	ENST00000381154.6	True	True	True	
ARSL	ENSG00000157399.19	ENST00000381134.9	True	True	True	
ARSF	ENSG00000062096.17	ENST00000381127.6	True	True	True	
ART1	ENSG00000129744.5	ENST00000250693.2	True	True	True	
ART3	ENSG00000156219.20	ENST00000355810.9	True	True	True	
