jobid	jobname	maxrss	maxvmsize	elapsed	state
5702721_0.batch	batch	6703012K	7874092K	00:15:23	COMPLETED
5702721_0.extern	extern	44K	44K	00:15:23	COMPLETED
5702721_1.batch	batch	6121080K	7338500K	00:14:58	COMPLETED
5702721_1.extern	extern	0	0	00:14:58	COMPLETED
5702721_2.batch	batch	6383876K	7557352K	00:15:25	COMPLETED
5702721_2.extern	extern	0	0	00:15:25	COMPLETED
5702721_3.batch	batch	6701928K	7861484K	00:15:27	COMPLETED
5702721_3.extern	extern	96K	96K	00:15:27	COMPLETED
5702721_4.batch	batch	6389888K	7635312K	00:14:46	COMPLETED
5702721_4.extern	extern	0	0	00:14:46	COMPLETED
5702721_5.batch	batch	6703456K	7863044K	00:15:25	COMPLETED
5702721_5.extern	extern	60K	60K	00:15:25	COMPLETED
5702721_6.batch	batch	6386940K	7632292K	00:14:44	COMPLETED
5702721_6.extern	extern	0	0	00:14:44	COMPLETED
5702721_7.batch	batch	6699824K	7859488K	00:15:24	COMPLETED
5702721_7.extern	extern	24K	24K	00:15:24	COMPLETED
5702721_8.batch	batch	6384900K	7630180K	00:14:44	COMPLETED
5702721_8.extern	extern	0	0	00:14:44	COMPLETED
5702721_9.batch	batch	6698500K	7858048K	00:15:23	COMPLETED
5702721_9.extern	extern	96K	96K	00:15:23	COMPLETED
