jobid	jobname	maxrss	maxvmsize	elapsed	state
5672860_0.batch	batch	6697500K	7857076K	00:15:24	COMPLETED
5672860_0.extern	extern	96K	96K	00:15:25	COMPLETED
5672860_1.batch	batch	6387536K	7630876K	00:14:43	COMPLETED
5672860_1.extern	extern	0	0	00:14:43	COMPLETED
5672860_2.batch	batch	6384456K	7627608K	00:14:42	COMPLETED
5672860_2.extern	extern	0	0	00:14:42	COMPLETED
5672860_3.batch	batch	7403308K	8631300K	00:15:00	COMPLETED
5672860_3.extern	extern	0	0	00:15:00	COMPLETED
5672860_4.batch	batch	6699560K	7859192K	00:15:25	COMPLETED
5672860_4.extern	extern	64K	64K	00:15:25	COMPLETED
5672860_5.batch	batch	6385148K	7629012K	00:14:43	COMPLETED
5672860_5.extern	extern	0	0	00:14:43	COMPLETED
5672860_6.batch	batch	6702004K	7872260K	00:15:23	COMPLETED
5672860_6.extern	extern	64K	64K	00:15:23	COMPLETED
5672860_7.batch	batch	6384676K	7629960K	00:14:45	COMPLETED
5672860_7.extern	extern	0	0	00:14:45	COMPLETED
5672860_8.batch	batch	6384120K	7623000K	00:14:44	COMPLETED
5672860_8.extern	extern	0	0	00:14:44	COMPLETED
5672860_9.batch	batch	6699444K	7859088K	00:15:26	COMPLETED
5672860_9.extern	extern	96K	96K	00:15:26	COMPLETED
